giorno,categoria,bucket_ritardo_arrivo,count,minuti_ritardo,minuti_anticipo
2025-09-30,FA,"(30,60]",1,35,0
2025-09-30,FR,"(-10,-5]",1,0,7
2025-09-30,FR,"(0,1]",1,1,0
2025-09-30,FR,"(30,60]",1,47,0
2025-09-30,FR,"(5,10]",1,7,0
2025-09-30,IC,"(-10,-5]",1,0,6
2025-09-30,IC,"(-30,-15]",2,0,40
2025-09-30,IC,"(-5,-1]",2,0,5
2025-09-30,IC,"(1,5]",2,6,0
2025-09-30,IC,"(10,15]",1,11,0
2025-09-30,ICN,"(-10,-5]",1,0,7
2025-09-30,ICN,"(-5,-1]",2,0,5
2025-09-30,ICN,"(0,1]",1,1,0
2025-09-30,ICN,"(1,5]",4,12,0
2025-09-30,ICN,"(10,15]",1,14,0
2025-09-30,ICN,"(15,30]",4,82,0
2025-09-30,REG,"(-1,0]",3,0,0
2025-09-30,REG,"(-10,-5]",3,0,20
2025-09-30,REG,"(-5,-1]",27,0,53
2025-09-30,REG,"(0,1]",5,5,0
2025-09-30,REG,"(1,5]",6,15,0
2025-09-30,REG,"(10,15]",1,11,0
2025-09-30,REG,"(15,30]",1,16,0
2025-09-30,REG,"(5,10]",3,22,0
2025-10-01,EC,"(-1,0]",2,0,0
2025-10-01,EC,"(-15,-10]",2,0,23
2025-10-01,EC,"(-5,-1]",17,0,46
2025-10-01,EC,"(0,1]",3,3,0
2025-10-01,EC,"(1,5]",5,15,0
2025-10-01,EC,"(10,15]",1,11,0
2025-10-01,EC,"(15,30]",8,157,0
2025-10-01,EC,"(30,60]",2,114,0
2025-10-01,EC,"(5,10]",8,58,0
2025-10-01,ECFR,"(1,5]",1,2,0
2025-10-01,ECFR,"(5,10]",1,7,0
2025-10-01,EN,"(1,5]",1,3,0
2025-10-01,FA,"(-10,-5]",2,0,15
2025-10-01,FA,"(-5,-1]",2,0,2
2025-10-01,FA,"(0,1]",3,3,0
2025-10-01,FA,"(1,5]",5,22,0
2025-10-01,FA,"(10,15]",3,40,0
2025-10-01,FA,"(30,60]",4,169,0
2025-10-01,FA,"(60,120]",1,83,0
2025-10-01,FB,"(1,5]",1,2,0
2025-10-01,FB,"(10,15]",1,14,0
2025-10-01,FB,"(15,30]",2,40,0
2025-10-01,FB,"(30,60]",2,95,0
2025-10-01,FB,"(5,10]",1,10,0
2025-10-01,FB,"(60,120]",1,72,0
2025-10-01,FR,"(-1,0]",3,0,0
2025-10-01,FR,"(-10,-5]",14,0,93
2025-10-01,FR,"(-5,-1]",24,0,51
2025-10-01,FR,"(0,1]",14,14,0
2025-10-01,FR,"(1,5]",39,143,0
2025-10-01,FR,"(10,15]",18,224,0
2025-10-01,FR,"(15,30]",36,841,0
2025-10-01,FR,"(30,60]",34,1496,0
2025-10-01,FR,"(5,10]",36,288,0
2025-10-01,FR,"(60,120]",5,432,0
2025-10-01,FR,> 120,1,144,0
2025-10-01,IC,"(-1,0]",3,0,0
2025-10-01,IC,"(-10,-5]",8,0,47
2025-10-01,IC,"(-15,-10]",3,0,35
2025-10-01,IC,"(-5,-1]",11,0,24
2025-10-01,IC,"(0,1]",5,5,0
2025-10-01,IC,"(1,5]",24,75,0
2025-10-01,IC,"(10,15]",8,104,0
2025-10-01,IC,"(15,30]",10,233,0
2025-10-01,IC,"(30,60]",6,266,0
2025-10-01,IC,"(5,10]",15,123,0
2025-10-01,IC,"(60,120]",3,241,0
2025-10-01,ICN,"(-10,-5]",2,0,14
2025-10-01,ICN,"(-5,-1]",1,0,1
2025-10-01,ICN,"(1,5]",1,4,0
2025-10-01,MET,"(-1,0]",22,0,0
2025-10-01,MET,"(-10,-5]",24,0,144
2025-10-01,MET,"(-5,-1]",134,0,317
2025-10-01,MET,"(0,1]",30,30,0
2025-10-01,MET,"(1,5]",56,182,0
2025-10-01,MET,"(10,15]",2,28,0
2025-10-01,MET,"(15,30]",1,17,0
2025-10-01,MET,"(30,60]",1,57,0
2025-10-01,MET,"(5,10]",15,111,0
2025-10-01,REG,"(-1,0]",844,0,0
2025-10-01,REG,"(-10,-5]",365,0,2179
2025-10-01,REG,"(-15,-10]",36,0,401
2025-10-01,REG,"(-30,-15]",10,0,167
2025-10-01,REG,"(-5,-1]",2630,0,5297
2025-10-01,REG,"(-60,-30]",1,0,51
2025-10-01,REG,"(0,1]",1006,1006,0
2025-10-01,REG,"(1,5]",2359,7467,0
2025-10-01,REG,"(10,15]",242,3059,0
2025-10-01,REG,"(15,30]",186,3812,0
2025-10-01,REG,"(30,60]",81,3355,0
2025-10-01,REG,"(5,10]",693,5129,0
2025-10-01,REG,"(60,120]",27,2043,0
2025-10-01,REG,> 120,2,280,0
2025-10-01,nan,"(-1,0]",1,0,0
