mese,categoria,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2026-02,EC,50,50,0,0,0,0,19,14,17,14,7,5,1,0,224,51,173,3.46,1.0,14.200000000000003,25.64999999999999,0
2026-02,ECFR,2,2,0,0,0,0,0,2,0,2,1,1,1,0,47,0,47,23.5,23.5,35.9,37.449999999999996,0
2026-02,EN,2,1,1,0,0,0,0,2,0,2,2,2,0,0,39,0,39,19.5,19.5,19.9,19.95,1
2026-02,EXP,2,2,0,0,0,0,0,1,1,1,1,0,0,0,11,12,-1,-0.5,-0.5,8.700000000000001,9.85,0
2026-02,FA,15,15,0,0,0,0,7,6,2,6,4,4,3,1,223,20,203,13.533333333333333,3.0,44.99999999999999,63.499999999999964,0
2026-02,FB,7,4,0,0,3,0,2,4,1,4,3,3,1,0,76,5,71,10.142857142857142,7.0,23.400000000000006,26.699999999999992,3
2026-02,FR,236,235,1,0,0,0,62,103,71,103,53,28,12,2,1661,252,1409,5.970338983050848,3.0,17.0,28.75,1
2026-02,IC,103,92,6,0,5,0,16,56,31,56,36,29,14,8,1507,141,1366,13.262135922330097,6.0,49.39999999999996,64.89999999999999,11
2026-02,ICN,17,17,0,0,0,0,4,7,6,7,6,3,2,2,216,38,178,10.470588235294118,2.0,37.60000000000002,71.8,0
2026-02,MET,211,209,2,0,0,0,95,7,109,7,0,0,0,0,148,298,-150,-0.7109004739336493,-1.0,2.0,4.0,2
2026-02,NCL,3,2,0,1,0,0,1,0,2,0,0,0,0,0,0,4,-4,-1.3333333333333333,-1.0,-0.19999999999999996,-0.10000000000000009,0
2026-02,REG,8775,8446,213,116,0,0,3951,1436,3388,1436,513,303,96,17,23497,8664,14833,1.6903703703703703,1.0,6.0,11.0,213
2026-02,nan,2,2,0,0,0,0,1,1,0,1,0,0,0,0,7,0,7,3.5,3.5,4.7,4.85,0
2026-02,,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0.0,0.0,1.6,1.7999999999999998,0
